environment,seed,method_id,method,episode,scenario_seed,initial_observation_sha256,collision_event_observed,event_or_censor_time_steps,rmst_horizon_steps,network_frozen,updates_during_test
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,27,100027,106da7961176c3fd0b60f17332cb49c8ce75b712b2ea4dafca863d57b84e46bc,True,2,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,28,100028,cdea9557c4d109c7df01454f07dc30ef133e4cd2a69d3f71522af9475a3d4d66,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,29,100029,b9f0fbd53dba7df015e0e4a25c7dd469131e15e139557e7d9cde3766b40d3300,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,30,100030,2064fb739bb2009be6079b9c93cca78963d2507df304b6830843f271fc0b3d1f,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,31,100031,6d90544f925e79f54839494b8eb922be62dba86b21692b191f8779f3bc91a66d,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,32,100032,3706b6afdefd55711e0340526984736bcfb75777a66e747ec81cf3228d6fd016,True,7,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,33,100033,83356f6820580f8552d071e3bcb0400ec118dfd35ea4fe104af6bb54da700469,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,34,100034,e5951556067fb4eb87baa4b734ecb0d1e45b46b6c1984e52ff27c76d15ef9376,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,35,100035,c06d79a3698be793049cb55d77dabce4cae63603265b296663cd08970dfe392b,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,36,100036,6cd705fbcd21d70beb1e8ae60dcc819037440b9e74de7154db1f48a04d92827f,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,37,100037,94f08f41d448714b1ed39bc57e91272979db4853c8bce86bb13765f880b702fa,True,9,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,38,100038,962294507c29f97cb9140d95e7cf881e9609020a9a648cd4e2e6b9a50533c8c3,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,39,100039,ebcc8296675f2dcba8d287e926c612050b5ed0b20073e536e63a75240414b22c,True,6,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,40,100040,5abe348cf78e384c6134dab2e274abfab81f6456cf0bd66c3db70e56c7d90684,True,10,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,41,100041,d430fa17d079228fbd5c679a3342954b010c0e93751d0f6c09b479b1d7f66a1c,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,42,100042,28079033f8842ff49794cd664cbc93b050fb9fa3cc652f4202a3d5a3308506ef,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,43,100043,f56ec3c6237a63cb0cb93e3385946a2b8780b4161842547344bbeb58633da56c,True,3,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,44,100044,51513e5b900f91491d242647758bb7cc7ba31352073cce87f6f26b80d6c80277,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,45,100045,c7b51078b54d127d1e9cc67667e7dad1e31b27e39c94dbe5172f2dd8d8de0c7d,True,4,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,46,100046,a345ec877d63fe6e286a7dadad330f026f624b86afa90da4eb597651a5c7fb92,True,5,500,True,0
HighwayEnv,65,epsilon,Epsilon-Greedy DQN,47,100047,5e4364f2ee974b871c2b4b9904574885f3b15475c9bde7b1be5391c8ddfed3bf,True,3,500,True,0
